Sno,Name,Party,State
114,"Mistry, Shri Madhusudan",INC,Gujarat
115,"Mitra, Dr. Chandan",BJP,Madhya Pradesh
116,"Mohanty, Shri Anubhav",BJD,Odisha
117,"Mohapatra, Shri Pyarimohan",IND.,Odisha
118,"Mukut Mithi, Shri",INC,Arunachal Pradesh
119,"Mungekar, Dr. Bhalchandra",INC,Nominated
120,"Muthukaruppan, Shri S.",AIADMK,Tamil Nadu
121,"Nadda, Shri Jagat Prakash",BJP,Himachal Pradesh
122,"Naidu, Shri M. Venkaiah",BJP,Karnataka
123,"Naik, Shri Shantaram",INC,Goa
124,"Nanda, Shri Kiranmay",SP,Uttar Pradesh
125,"Naqvi, Shri Mukhtar Abbas",BJP,Uttar Pradesh
126,"Narayanan, Shri C.P.",CPI(M),Kerala
127,"Natchiappan, Dr. E.M. Sudarsana",INC,Tamil Nadu
128,"Nathwani, Shri Parimal",IND.,Jharkhand
129,"Navaneethakrishnan, Shri A.",AIADMK,Tamil Nadu
130,"Nirmala Sitharaman, Smt.",BJP,Andhra Pradesh
131,"Nishad, Shri Vishambhar Prasad",SP,Uttar Pradesh
132,"O Brien, Shri Derek",AITC,West Bengal
133,"Panchariya, Shri Narayan Lal",BJP,Rajasthan
134,"Pande, Shri Avinash",INC,Maharashtra
135,"Pandian, Shri Paul Manoj",AIADMK,Tamil Nadu
136,"Pandya, Shri Dilipbhai",BJP,Gujarat
137,"Parasaran, Shri K.",NOM.,Nominated
138,"Parida, Shri Baishnab",BJD,Odisha
139,"Parrikar, Shri Manohar",BJP,Uttar Pradesh
140,"Patel, Shri Ahmed",INC,Gujarat
141,"Patel, Shri Praful",NCP,Maharashtra
142,"Patil, Shri Basawaraj",BJP,Karnataka
143,"Patil, Smt. Rajani",INC,Maharashtra
144,"Pawar, Shri Sharad",NCP,Maharashtra
145,"Perween, Smt. Kahkashan",JD(U),Bihar
146,"Prabhu, Shri Suresh",BJP,Haryana
147,"Pradhan, Shri Dharmendra",BJP,Bihar
148,"Prasad, Shri Ravi Shankar",BJP,Bihar
149,"Punia, Shri P.L.",INC,Uttar Pradesh
150,"Ragesh, Shri K.K.",CPI(M),Kerala
151,"Raja, Shri D.",CPI,Tamil Nadu
152,"Rajan, Shri Ambeth",BSP,Uttar Pradesh
153,"Rajaram, Shri",BSP,Uttar Pradesh
154,"Ramalingam, Dr. K.P.",DMK,Tamil Nadu
155,"Ramesh, Shri C.M.",TDP,Telangana
156,"Ramesh, Shri Jairam",INC,Andhra Pradesh
157,"Rangarajan, Shri T.K.",CPI(M),Tamil Nadu
158,"Rangasayee Ramakrishna, Shri",BJP,Karnataka
159,"Rao, Shri Garikapati Mohan",TDP,Telangana
160,"Rao, Dr. K. Keshava",TRS,Andhra Pradesh
161,"Rao, Dr. K.V.P. Ramachandra",INC,Telangana
162,"Rao, Shri V. Hanumantha",INC,Telangana
163,"Rapolu, Shri Ananda Bhaskar",INC,Telangana
164,"Rashtrapal, Shri Praveen",INC,Gujarat
165,"Rathinavel, Shri T.",AIADMK,Tamil Nadu
166,"Raut, Shri Sanjay",SS,Maharashtra
167,"Ravi, Shri Vayalar",INC,Kerala
168,"Reddy, Shri D. Kupendra",JD(S),Karnataka
169,"Reddy, Shri Palvai Govardhan",INC,Telangana
170,"Reddy, Dr. T. Subbarami",INC,Andhra Pradesh
171,"Rekha, Ms.",NOM.,Nominated
172,"Roy, Shri Mukul",AITC,West Bengal
173,"Roy, Shri Sukhendu Sekhar",AITC,West Bengal
174,"Sable, Shri Amar Shankar",BJP,Maharashtra
175,"Sadho, Dr. Vijaylaxmi",INC,Madhya Pradesh
176,"Sahani, Dr. Anil Kumar",JD(U),Bihar
177,"Sahu, Shri Dhiraj Prasad",INC,Jharkhand
178,"Sai, Shri Nand Kumar",BJP,Chhattisgarh
179,"Saini, Shri Rajpal Singh",BSP,Uttar Pradesh
180,"Salam, Haji Abdul",INC,Manipur
181,"Saleem, Chaudhary Munvvar",SP,Uttar Pradesh
182,"Sancheti, Shri Ajay",BJP,Maharashtra
183,"Sanjiv Kumar, Shri",JMM,Jharkhand
184,"Sasikala Pushpa, Smt.",AIADMK,Tamil Nadu
185,"Seelam, Shri Jesudasu",INC,Andhra Pradesh
186,"Seema, Dr. T.N.",CPI(M),Kerala
187,"Seetharama Lakshmi, Smt. Thota",TDP,Andhra Pradesh
188,"Selja, Kumari",INC,Haryana
189,"Selvaraj, Shri A. K.",AIADMK,Tamil Nadu
190,"Sen, Ms. Dola",AITC,West Bengal
191,"Sen, Shri Tapan Kumar",CPI(M),West Bengal
192,"Sharma, Shri Satish",INC,Uttar Pradesh
193,"Shekhar, Shri Neeraj",SP,Uttar Pradesh
194,"Shukla, Shri Rajeev",INC,Maharashtra
195,"Singh, Shri Arvind Kumar",SP,Uttar Pradesh
196,"Singh, Shri Bashistha Narain",JD(U),Bihar
197,"Singh, Shri Bhupinder",BJD,Odisha
198,"Singh, Shri Birender",BJP,Haryana
199,"Singh, Shri Digvijaya",INC,Madhya Pradesh
200,"Singh, Smt. Kanak Lata",SP,Uttar Pradesh
201,"Singh, Dr. Kanwar Deep",AITC,West Bengal
202,"Singh, Dr. Manmohan",INC,Assam
203,"Singh, Shri Ramchandra Prasad",JD(U),Bihar
204,"Singh, Shri Veer",BSP,Uttar Pradesh
205,"Singh Badnore, Shri V.P.",BJP,Rajasthan
206,"Singhvi, Dr. Abhishek Manu",INC,Rajasthan
207,"Sinh, Dr. Sanjay",INC,Assam
208,"Sinha, Shri R. K.",BJP,Bihar
209,"Siva, Shri Tiruchi",DMK,Tamil Nadu
210,"Soni, Smt. Ambika",INC,Punjab
211,"Sood, Smt. Bimla Kashyap",BJP,Himachal Pradesh
212,"Sudharani, Smt. Gundu",TDP,Telangana
213,"Swamy, Shri A.V.",IND.,Odisha
214,"Syiem, Smt. Wansuk",INC,Meghalaya
215,"Tarun Vijay, Shri",BJP,Uttarakhand
216,"Tazeen Fatma, Dr.",SP,Uttar Pradesh
217,"Tendulkar, Shri Sachin Ramesh",NOM.,Nominated
218,"Thakur, Dr. C.P.",BJP,Bihar
219,"Thakur, Shri Ram Nath",JD(U),Bihar
220,"Thakur, Smt. Viplove",INC,Himachal Pradesh
221,"Thangavelu, Shri S.",DMK,Tamil Nadu
222,"Tirkey, Shri Dilip Kumar",BJD,Odisha
223,"Tiwari, Shri Alok",SP,Uttar Pradesh
224,"Tiwari, Shri Pramod",INC,Uttar Pradesh
225,"Tlau, Shri Ronald Sapa",INC,Mizoram
226,"Tripathi, Shri D.P.",NCP,Maharashtra
227,"Tulsi, Shri K.T.S.",NOM.,Nominated
228,"Tundiya, Mahant Shambhuprasadji",BJP,Gujarat
229,"Tyagi, Shri K.C.",JD(U),Bihar
230,"Vadodia, Shri Lal Sinh",BJP,Gujarat
231,"Varma, Shri Pavan Kumar",JD(U),Bihar
232,"Vegad, Shri Shankarbhai N.",BJP,Gujarat
233,"Verma, Shri Ravi Prakash",SP,Uttar Pradesh
234,"Vijila Sathyananth, Smt.",AIADMK,Tamil Nadu
235,"Vora, Shri Motilal",INC,Chhattisgarh
236,"Yadav, Shri Bhupender",BJP,Rajasthan
237,"Yadav, Dr. Chandrapal Singh",SP,Uttar Pradesh
238,"Yadav, Shri Darshan Singh",SP,Uttar Pradesh
239,"Yadav, Prof. Ram Gopal",SP,Uttar Pradesh
240,"Yadav, Shri Sharad",JD(U),Bihar
241,"Yechury, Shri Sitaram",CPI(M),West Bengal
242,"Zhimomi, Shri Khekiho",NPF,Nagaland
